id,category,sno,title,date,pdf_link,filename,scraped_time
8c56547836a06e1e,public_notices,1,"Prohibits to Import, manufacture, sale, distribution and use in any food producing animal rearing system of drug formulations containing ""Chloramphenicol or Nitrofurans drugs with immediate effect",2026-Jun-04,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQyODI=,Prohibits_to_Import_manufacture_sale_distribution_and,2026-06-05T07:16:46.800091
501e44e10ed5d530,gazette_notifications,1,"2026.06.01 G.S.R. 444(E)_Notification for amendment in Schedule V w.r.t. unit of measurement of Folic Acid under the Drugs Rules, 1945",2026-Jun-01,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQzMjM=,20260601_GSR_444ENotification_for_amendment_in_Schedule,2026-06-08T12:06:47.657211
8ffadbda200ddd06,public_notices,18,Testing Laboratories approved by Statas & UT in Form 37 of Drugs Rule 1945 and Cos 23 of Cosmetics Rule 2020,2026-Mar-10,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQzMjk=,Testing_Laboratories_approved_by_Statas_UT_in,2026-06-10T11:02:04.856983
0a8fd22479a50654,circulars,1,"Submission of Compliance for lmported/manufactured Hair Color Cosmetics Products as per Cosmetics Rules, 2020 and applicable BIS Standards",2026-Jun-11,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQzMzM=,Submission_of_Compliance_for_lmportedmanufactured_Hair_Color,2026-06-11T08:14:48.280489
fe9c0a9dbf83a9f6,gazette_notifications,1,"2026.06.09 G.S.R. 477(E)_Notification for Removal of Syrup exemption under schedule K in the Drugs Rules,1945",2026-Jun-09,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQzNjA=,20260609_GSR_477ENotification_for_Removal_of_Syrup,2026-06-16T12:20:24.103715
160677bf0260be26,circulars,1,"Constitution of Consultancy Committee of Key Stakeholders for Advice on Suo-Motu Disclosure under Section 4 of the RTI Act, 2005 in CDSCO",2026-Jun-16,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQzODY=,Constitution_of_Consultancy_Committee_of_Key_Stakeholders,2026-06-17T11:56:53.860179
66f76bdf188e77dc,public_notices,1,List of Debarment of Principal Investigators by CLA,2026-Jun-12,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQzOTM=,List_of_Debarment_of_Principal_Investigators_by,2026-06-18T15:00:47.122970
2774f4c16eaddf47,public_notices,2,List of Suspended Ethics Committee by CLA,2026-Jun-12,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQzOTI=,List_of_Suspended_Ethics_Committee_by_CLA,2026-06-18T15:00:47.122970
12e6ad0880996b1e,gazette_notifications,1,"2026.06.18 G.S.R. 496(E)_Notification of Chaudhary Charan Singh National Institute of Animal Health, Baghpat, UP, as a CDL for testing viral and bacterial veterinary vaccines under the D and C Act",2026-Jun-18,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQzOTY=,20260618_GSR_496ENotification_of_Chaudhary_Charan_Singh,2026-06-22T13:04:13.287562
d863f7a08711bbef,gazette_notifications,2,2026.06.11 S.O. 3068(E) to S.O. 3083(E)_ Prohibition of 16 FDC's,2026-Jun-11,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQzOTc=,20260611_SO_3068E_to_SO_3083E_Prohibition,2026-06-22T13:04:13.287562
0ae4d3ddef85cab2,gazette_notifications,1,"2026.06.22 S.O. 3286(E)_Implementation of provisions under Jan Vishwas (Amendment of Provisions) Act, 2026",2026-Jun-22,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQzOTg=,20260622_SO_3286EImplementation_of_provisions_under_Jan,2026-06-23T06:58:40.967289
