id,date,title,pdf_link,detail_page_link,pdf_filename,wing_category,file_info,category,created_at
fa34ffa4d65f3ed08b11ea3505a0cfc2185d3b2d,17-01-2025,Advisory for Local Cable Operators,https://mib.gov.in/sites/default/files/2025-01/advisory-17.01.2025.pdf,,2025-01-17_advisory-for-local-cable-operators.pdf,Acts,1.2 MB,acts_policy_guidelines,2025-12-15T08:22:31.123914+00:00
0db31868f43b8e3b8b56ff09c7d89a239ecbbc8b,02-01-2025,"Programme and Advertisement Codes prescribed under CTN, Act 1995",https://mib.gov.in/sites/default/files/2025-01/programme-and-advertising-code-as-on-02.01.2025.pdf,,2025-01-02_programme-and-advertisement-codes-prescribed-under-ctn-act-1995.pdf,Acts,219.1 KB,acts_policy_guidelines,2025-12-15T08:22:31.123997+00:00
dd540636285a0f3b67f40b203e773aea05a4de5f,07-08-2024,Revised Guidelines for exemptions from certification process for film festivals,https://mib.gov.in/sites/default/files/2024-12/exemptions-from-certification-process-for-film-festivals-preview-committee-report-reg.pdf,,2024-08-07_revised-guidelines-for-exemptions-from-certification-process-for-film-festivals.pdf,Guidelines,7.52 MB,acts_policy_guidelines,2025-12-15T08:22:31.124083+00:00
bc9826f34992e4aab3d8b8836037f4516a8995d7,10-03-2025,Regulations of 70th National Film Awards,https://mib.gov.in/sites/default/files/2025-03/70th_nfa_regulation-english-1.pdf,,2025-03-10_regulations-of-70th-national-film-awards.pdf,Film Wing,580.02 KB,other_communication,2025-12-15T08:22:32.984937+00:00
ad879c7ff2a8896f02cbe04abf02b35f97a87852,25-12-2024,"Incorporation of Indian Institute of Creative Technologies (IICT) as a Section 8 company under Companies Act, 2013",https://mib.gov.in/sites/default/files/2024-12/nscan.pdf,,2024-12-25_incorporation-of-indian-institute-of-creative-technologies-iict-as-a-section-8-c.pdf,Film Wing,525.98 KB,other_communication,2025-12-15T08:22:32.985045+00:00
d6e8f48c5407298fe66e254bda2c138a57b60c2a,07-10-2024,Gazette Notification for 70th National Film Awards,https://mib.gov.in/sites/default/files/2024-12/70th-nfa-gazette-notification.pdf,,2024-10-07_gazette-notification-for-70th-national-film-awards.pdf,Film Wing,1.89 MB,other_communication,2025-12-15T08:22:32.985131+00:00
acdfeb37a4edf306b8453628131a8fe4f052c2c8,08-08-2024,Constitution of Monitoring Committee to Oversee Implementation of the Guidelines for Accessibility Standards in the Public Exhibition of Feature Films in Cinema Theatres for Persons with Hearing and Visual Impairment - reg.,https://mib.gov.in/sites/default/files/2024-12/om-dated-08-08-2024-regarding-constitution-of-monitoring-to-oversee-implementation-of-guidelines-for-accessibility-standards-in-feature-films-accessible-1.pdf,,2024-08-08_constitution-of-monitoring-committee-to-oversee-implementation-of-the-guidelines.pdf,Film Wing,1.31 MB,other_communication,2025-12-15T08:22:32.985233+00:00
6ca929ff34f0c0d6d0e76d23a274d7f81ece5db6,03-11-2023,"Nomination of Nodal Officers under section 79(3)(b) of the IT Act, 2000 read with rule 3(1)(d) of the Information Technology (Guidelines for Intermediaries and Digital Media Ethics Code) Rules, 2021, in respect to unlawful information…",https://mib.gov.in/sites/default/files/2024-12/nomination-of-nodal-officers-under-section-79-3-b-of-the-it-act-2000-accessible.pdf,,2023-11-03_nomination-of-nodal-officers-under-section-793b-of-the-it-act-2000-read-with-rul.pdf,Film Wing,2.12 MB,other_communication,2025-12-15T08:22:32.985342+00:00
5d86802af0719b75e3acacd97d743df69bd1c36b,26-09-2023,The High Court of Delhi Order dated 26-09-2023 in the Akshat Baldawa vs Yashraj Films,https://mib.gov.in/sites/default/files/2024-12/the-high-court-of-delhi-order-dated-26-09-2023-in-the-akshat-baldawa-vs-yashraj-films.pdf,,2023-09-26_the-high-court-of-delhi-order-dated-26-09-2023-in-the-akshat-baldawa-vs-yashraj-.pdf,Film Wing,6.65 MB,other_communication,2025-12-15T08:22:32.985453+00:00
6b0f4dc1cac29db8f0c16788160a535b00a3acf3,17-03-2023,Advisory to Film Festival Organizers/Individuals/Agencies etc. to directly submit their application to the Ministry for exemption of films as per Policy for certification of films for film festivals and to beware of any intermediaries/…,https://mib.gov.in/sites/default/files/2024-12/advisory-dated-17-03-2023-for-film-fesvival-organizers_0001-1.pdf,,2023-03-17_advisory-to-film-festival-organizersindividualsagencies-etc-to-directly-submit-t.pdf,Film Wing,1.97 MB,other_communication,2025-12-15T08:22:32.985551+00:00
