id,category,title,date,pdf_link,source_page,scraped_at
9720b60c42f0cf56f76ba8822d2ba06ce5d379fd,Press Releases,Pioneering Skill Development Courses launched by IN-SPACe,"Dec 15, 2023",https://www.inspace.gov.in/sys_attachment.do?sys_id=ec8356c487d335103b0f0d060cbb35ce,https://www.inspace.gov.in/inspace?id=inspace_press_releases_page,2025-12-22T08:34:54.347458
5862058a27685d8063f4a3159be3b2884a5dfc56,Press Releases,IN-SPACe grants authorization to OneWeb India,"Nov 23, 2023",https://www.inspace.gov.in/sys_attachment.do?sys_id=cd65fe27876a7510d66165350cbb35d2,https://www.inspace.gov.in/inspace?id=inspace_press_releases_page,2025-12-22T08:34:54.355819
60884b12c5126d76647198db170f8051b07c2acb,Press Releases,"Release of Expression of Interest (EoI) for SSLV Technology Transfer to Indian Industries, Bengaluru","July 11, 2023",https://www.inspace.gov.in/sys_attachment.do?sys_id=88fb16da87cd3550de76a8660cbb352f,https://www.inspace.gov.in/inspace?id=inspace_press_releases_page,2025-12-22T08:34:54.363370
6d7bb4143ff4a123fbf48a778c9b61682f5a9fb2,Press Releases,IN-SPACe promotes India's emergence as the world's space hub with global partners,"October 05, 2023",https://www.inspace.gov.in/sys_attachment.do?sys_id=4e4938408779f550de76a8660cbb350a,https://www.inspace.gov.in/inspace?id=inspace_press_releases_page,2025-12-22T08:34:54.370871
7b6ac43dc294226256beb8b5a7ba9648b8da045a,Press Releases,IN-SPACe unveils Decadal Vision and Strategy for Indian Space Economy,"October 10, 2023",https://www.inspace.gov.in/sys_attachment.do?sys_id=c4547416877d711082e163d70cbb35d3,https://www.inspace.gov.in/inspace?id=inspace_press_releases_page,2025-12-22T08:34:54.378603
b3506c0e9ce44a23e04793b321ab74633f7b8022,Publications,Brochure & Newsletter,"IN-SPACe Chronicle, Newsletter",,PDF 6 MB,https://www.inspace.gov.in/sys_attachment.do?sys_id=c1d2744d87dabd50de76a8660cbb3539,https://www.inspace.gov.in/inspace?id=inspace_publications,2025-12-22T08:50:25.052895
332b602fd907f07f337beba27bb49b7ebce98a24,Publications,Brochure & Newsletter,Cansat India Brochure,,PDF - 1.73 MB,https://www.inspace.gov.in/sys_attachment.do?sys_id=f00bf835876d0a503b0f0d060cbb35b0,https://www.inspace.gov.in/inspace?id=inspace_publications,2025-12-22T08:50:25.067644
0a5ff8e1a02f43814b436eb3de29ca4e7e9a26a4,Publications,Brochure & Newsletter,Model Curriculum for Minor Degree in Space Technology,,PDF - 9.9 MB,https://www.inspace.gov.in/sys_attachment.do?sys_id=0d530553878096103b0f0d060cbb35c5,https://www.inspace.gov.in/inspace?id=inspace_publications,2025-12-22T08:50:25.077210
50da5146384d5789f45dd6618160552df22de9b2,Publications,Brochure & Newsletter,IN-SPACe Technical Centre Brochure,,PDF - 5.37 MB,https://www.inspace.gov.in/sys_attachment.do?sys_id=5e9b5e7687384a5082e163d70cbb352b,https://www.inspace.gov.in/inspace?id=inspace_publications,2025-12-22T08:50:25.087095
43a5bb850372462b880e61876e6e1ebb07519fd5,Publications,Brochure & Newsletter,"IN-SPACe Brochure, Oct 2024",,PDF - 21 MB,https://www.inspace.gov.in/sys_attachment.do?sys_id=bcda8f53874d1e10de76a8660cbb3506,https://www.inspace.gov.in/inspace?id=inspace_publications,2025-12-22T08:50:25.096589
f74c3b0cf481a4377feb21a6ad96ded43a867594,Publications,Brochure & Newsletter,Coffee Table Book,,URL,?id=inspace_pdf_carousel,https://www.inspace.gov.in/inspace?id=inspace_publications,2025-12-22T08:50:25.106782
c1741dbf776b470dd5a20880ab5821bf88fdc506,Publications,Reports & White Papers,Notification on the validity of the capacity provisioning contracts,,PDF - 344 KB,https://www.inspace.gov.in/sys_attachment.do?sys_id=7e309a783b3e6a1063ff0a34c3e45aeb,https://www.inspace.gov.in/inspace?id=inspace_publications,2025-12-22T08:50:25.637923
0ad8dd8103ae11d63638f5b9d49271154176f445,Publications,Reports & White Papers,Projection of SATCOM capacity over India for next 5 years,,PDF 4.6 MB,https://www.inspace.gov.in/sys_attachment.do?sys_id=b50180a997e06a10a581f8b0f053aff6,https://www.inspace.gov.in/inspace?id=inspace_publications,2025-12-22T08:50:25.647252
28bc7642bed355c8537f95c75d5561ca8c270698,Publications,Reports & White Papers,Ground Station As A Service (GSaaS) in India,,PDF - 3.3 MB,https://www.inspace.gov.in/sys_attachment.do?sys_id=108716c487c59e10d66165350cbb35b5,https://www.inspace.gov.in/inspace?id=inspace_publications,2025-12-22T08:50:25.656881
55d4b887c90b14573929f7bb0efa427905ab1a90,Publications,Reports & White Papers,"Norms, Guidelines and Procedures in respect of Authorization",,URL,?id=inspace_ngp_update_page,https://www.inspace.gov.in/inspace?id=inspace_publications,2025-12-22T08:50:25.666362
04b000bc113120b47eb7eaa05fa50ec4e49d739a,Publications,Reports & White Papers,EO Consultation Paper,,PDF - 1 MB,https://www.inspace.gov.in/sys_attachment.do?sys_id=71195e8b87dc3d10de76a8660cbb35dd,https://www.inspace.gov.in/inspace?id=inspace_publications,2025-12-22T08:50:25.675472
8dc84cddfa7b50a35e9aefee0b26f5d846a70a3c,Publications,Reports & White Papers,IN-SPACe Industry Connect 7 Report,,,https://www.inspace.gov.in/inspace/sys_attachment.do?sys_id=fc4246be97bee210a581f8b0f053af8c,https://www.inspace.gov.in/inspace?id=inspace_publications,2025-12-22T08:50:25.685057
4f6c0479118a8de96917bf53f923a11494d50dd6,Publications,Launch Manifesto,Integrated Launch Manifesto for 2023-24 (Q4) & 2024-25,,PDF - 514 KB,https://www.inspace.gov.in/sys_attachment.do?sys_id=19a5f4ec8798461082e163d70cbb3571,https://www.inspace.gov.in/inspace?id=inspace_publications,2025-12-22T08:50:26.215708
e9ecc2788516bcddc5acd576b87511efcf6b5f0d,Publications,Our Chairman Messages,New Year 2025,,PDF - 452 KB,https://www.inspace.gov.in/sys_attachment.do?sys_id=96930342873a1250de76a8660cbb3558,https://www.inspace.gov.in/inspace?id=inspace_publications,2025-12-22T08:50:26.743359
1956992625c65d3eca4086ced208c04ef8c8e18f,Publications,Parliament Questions,"Monsoon Season of Parliament, 2022",,"PDF - 3 MB, Published in January 2023",https://www.inspace.gov.in/sys_attachment.do?sys_id=a4d18461879d1510cc8310aabbbb3575,https://www.inspace.gov.in/inspace?id=inspace_publications,2025-12-22T08:50:27.271731
5bad6af4b975aa3ee2d0ba1722adbe30f06b8bb1,Publications,Presentations,IN-SPACe Industry Connect 7 Day 1 – Leadership Dialogue Presentation,,,https://www.inspace.gov.in/inspace/sys_attachment.do?sys_id=0380966b3bcaea5063ff0a34c3e45aab,https://www.inspace.gov.in/inspace?id=inspace_publications,2025-12-22T08:50:27.801016
9b932df0d3e3422e777e74d63c26b26bd2a8fb7a,Publications,Presentations,IN-SPACe Industry Connect 7 Day 2 - IN-SPACe Report Presentation,,,https://www.inspace.gov.in/inspace/sys_attachment.do?sys_id=a3215e6b3bcaea5063ff0a34c3e45ab4,https://www.inspace.gov.in/inspace?id=inspace_publications,2025-12-22T08:50:27.810469
8caf1b623ee1c43a74e97e31013d3de115d95ecd,Publications,Presentations,IN-SPACe Industry Connect 7 Day 2 - States for Space Session Presentation,,,https://www.inspace.gov.in/inspace/sys_attachment.do?sys_id=35c1da2b3bcaea5063ff0a34c3e45a0f,https://www.inspace.gov.in/inspace?id=inspace_publications,2025-12-22T08:50:27.821182
05c29881dfa9e2f47959cbcc4b46c77b7a3272cf,Publications,Presentations,"IN-SPACe Industry Connect 7 Day 2 – Special Address, Kaleidoscope and Brainstorming outcome Presentation",,,https://www.inspace.gov.in/inspace/sys_attachment.do?sys_id=1e711aab3bcaea5063ff0a34c3e45aee,https://www.inspace.gov.in/inspace?id=inspace_publications,2025-12-22T08:50:27.830762
ebddc83ea79f7c5c5277469ec7ff5a3ab18b5adb,Publications,Curriculum,Model Curriculum for Minor Degree,,PDF - 17.6 MB,https://www.inspace.gov.in/sys_attachment.do?sys_id=81688e3d97e87650a581f8b0f053af82,https://www.inspace.gov.in/inspace?id=inspace_publications,2025-12-22T08:50:28.359563
