id,title,publish_date,pdf_url,pdf_filename
37,Order dated 19.12.2025 for promotion from JAG to SAG/ transfer & posting of SAG level officers of P&T Building Works Services Group A-Electrical,12/19/2025,https://dot.gov.in/sites/default/files/Order%20No%201-1-2002-EW%28Pt%29%20dated%2019-12-2025%20in%20respect%20to%20promotion%20and%20transfer%20of%20Officials%20of%20PT%20BWS%20Group%20A%20Cadre.pdf?download=1,Order_No_1-1-2002-EWPt_dated_19-12-2025_in_respect_to_promotion_and_transfer_of_Officials_of_PT_BWS_Group_A_Cadre.pdf
38,TRAI Recruitment Rules 2025 gazette notification dated 18.12.2025,12/18/2025,https://dot.gov.in/sites/default/files/TRAI%20RR%202025%20gazette%20notification%20dated%2018122025.pdf?download=1,TRAI_RR_2025_gazette_notification_dated_18122025.pdf
39,"Rescindment notification dated 18.12.2025 regarding TRAI Appointment Regulations, 2023",12/18/2025,https://dot.gov.in/sites/default/files/Rescindment%20notification%20dated%2018%20Dec%202025.pdf?download=1,Rescindment_notification_dated_18_Dec_2025.pdf
40,Submission of Annual Immovable Property Return for the Year 2025 as on 31.12.2025 by the officers of IP&TAFS Gr. A-reg.,12/19/2025,https://dot.gov.in/sites/default/files/AIPR%202026%20Gr%20A-1.pdf?download=1,AIPR_2026_Gr_A-1.pdf
41,Submission of Annual Immovable Property Return for the Year- 2025 as on 31.12.2025 by the officers of IP&TAFS Gr. B-reg.,12/19/2025,https://dot.gov.in/sites/default/files/AIPR%202026%20Gr%20B-1.pdf?download=1,AIPR_2026_Gr_B-1.pdf
42,Regular Promotion in HAG of ITS Group A against VY 2025,12/24/2025,https://dot.gov.in/sites/default/files/HAG%20Promotion%20VY%202025.pdf?download=1,HAG_Promotion_VY_2025.pdf
43,Refusal of Promotion in SAG of ITS Group A by Shri Takalikar Prashant Vaksiddha,12/26/2025,https://dot.gov.in/sites/default/files/Refusal%20of%20Promotion%20in%20SAG%20of%20ITS%20Group%20A%20by%20Shri%20Takalikar%20Prashant%20Vaksiddha.pdf?download=1,Refusal_of_Promotion_in_SAG_of_ITS_Group_A_by_Shri_Takalikar_Prashant_Vaksiddha.pdf
44,Refusal of Promotion in SAG of ITS Group A by Shri Ram Chandra,12/26/2025,https://dot.gov.in/sites/default/files/Refusal%20of%20Promotion%20in%20SAG%20of%20ITS%20Group%20A%20by%20Shri%20Ram%20Chandra.pdf?download=1,Refusal_of_Promotion_in_SAG_of_ITS_Group_A_by_Shri_Ram_Chandra.pdf
45,Refusal of Promotion in SAG of ITS Group A by Shri Navendra Singh,12/26/2025,https://dot.gov.in/sites/default/files/Refusal%20of%20Promotion%20in%20SAG%20of%20ITS%20Group%20A%20by%20Navendra%20Singh.pdf?download=1,Refusal_of_Promotion_in_SAG_of_ITS_Group_A_by_Navendra_Singh.pdf
46,Appointment of Dr KD Vizo ITS to the Government of Nagaland on deputation basis,12/26/2025,https://dot.gov.in/sites/default/files/Appointment%20of%20Dr%20KD%20Vizo%20ITS%20%28Staff%20No%20%2020151%29%20to%20the%20Government%20of%20Nagaland%20on%20deputation%20basis.pdf?download=1,Appointment_of_Dr_KD_Vizo_ITS_Staff_No_20151_to_the_Government_of_Nagaland_on_deputation_basis.pdf
47,Webinar on Amended BharatNet Programme GPs and Villages Level Architecture 31st December 2025,12/26/2025,https://dot.gov.in/sites/default/files/Webinar-I%20Amended%20Bharat-Net%20Programme.pdf?download=1,Webinar-I_Amended_Bharat-Net_Programme.pdf
48,Regular promotion in HAG of ITS Group A against Vacancy Year 2026,12/29/2025,https://dot.gov.in/sites/default/files/HAG%20promotion%20order.pdf?download=1,HAG_promotion_order.pdf
49,Regular promotion in HAG plus of ITS Group A,12/29/2025,https://dot.gov.in/sites/default/files/HAG%2B%20promotion%20order.pdf?download=1,HAG_promotion_order-1.pdf
50,Regular promotion in SAG of ITS Group A against VY 2026-reg,12/30/2025,https://dot.gov.in/sites/default/files/Promotion%20Order_SAG_2026.pdf?download=1,Promotion_Order_SAG_2026.pdf
51,Promotion to the Senior Time Scale of Indian P&T Accounts and Finance Service Group A on regular basis,12/30/2025,https://dot.gov.in/sites/default/files/STS_2.pdf?download=1,STS_2.pdf
52,Promotion to the Junior Administrative Grade of Indian P&T Accounts and Finance Service Group A on regular basis.,12/30/2025,https://dot.gov.in/sites/default/files/JAG%202026.pdf?download=1,JAG_2026.pdf
53,Retirement on Superannuation of officer of IP&TAFS Group A,12/30/2025,https://dot.gov.in/sites/default/files/letter_0.pdf?download=1,letter_0.pdf
54,Placement in JAG NFSG of ITS Group A-reg,12/31/2025,https://dot.gov.in/sites/default/files/document%20-%202025.pdf?download=1,document_-_2025.pdf
55,Rotational Transfers of ITS Group A officers reg.,12/31/2025,https://dot.gov.in/sites/default/files/Rotational%20Transfers%20of%20ITS%20Group%20A%20officers%20reg.pdf?download=1,Rotational_Transfers_of_ITS_Group_A_officers_reg.pdf
56,Grant of NFU in HAG of ITS Group A-reg,01/08/2026,https://dot.gov.in/sites/default/files/HAG%20NFU%20Order.pdf?download=1,HAG_NFU_Order.pdf
57,"Inviting nominations of experts from industry, academia, TSPs, Government Organizations, Start-ups, MSME etc. in National Working Group -05",01/10/2026,https://dot.gov.in/sites/default/files/Inviting%20nominations%20of%20experts%20for%20NWG-5.pdf?download=1,Inviting_nominations_of_experts_for_NWG-5.pdf
58,"Order dated 09.01.2026 regarding promotion from STS to JAG and transfer/ posting of JAG level officers of P&T Building Works Services, Group A-Electrical sub-cadre- reg.",01/09/2026,https://dot.gov.in/sites/default/files/Order%20regarding%20promotion%20to%20JAG%20and%20transfer%20%26%20posting%20of%20JAG%20level%20officers%20%283%29-1.pdf?download=1,Order_regarding_promotion_to_JAG_and_transfer__posting_of_JAG_level_officers_3-1.pdf
59,Circulation of Provisional Seniority List of JTS officers of ITS Group A of Department of Telecommunications as on 01.01.2026,01/09/2026,https://dot.gov.in/sites/default/files/Draft%20Seniority%20list%20JTS%20of%20ITS%20Gr%20A%20as%20on%2001-01-2026_0.pdf?download=1,Draft_Seniority_list_JTS_of_ITS_Gr_A_as_on_01-01-2026_0.pdf
60,Provisional Seniority list of JTOs of TES Group B of Department of Telecommunications as on 01.01.2026-reg,01/09/2026,https://dot.gov.in/sites/default/files/Provisional%20Seniority%20list%20of%20JTOs%20of%20TES%20Group%20B%20of%20DoT%20as%20on%2001-01-2026_0.pdf?download=1,Provisional_Seniority_list_of_JTOs_of_TES_Group_B_of_DoT_as_on_01-01-2026_0.pdf
61,Provisional Seniority list of SDEs of TES Group B of Department of Telecommunications as on 01.01.2026,01/09/2026,https://dot.gov.in/sites/default/files/Provisional%20Seniority%20list%20of%20SDEs%20of%20TES%20Gr%20B%20of%20DoT%20as%20on%2001-01-2026_0.pdf?download=1,Provisional_Seniority_list_of_SDEs_of_TES_Gr_B_of_DoT_as_on_01-01-2026_0.pdf
62,Circulation of Provisional Seniority List of STS officers of ITS Group A of Department of Telecommunications as on 01.01.2026,01/09/2026,https://dot.gov.in/sites/default/files/STS%20SENIORITY%20AS%20ON%2001-01-2026_0.pdf?download=1,STS_SENIORITY_AS_ON_01-01-2026_0.pdf
63,"Advertisement for the post of Director Projects, TCIL",01/12/2026,https://dot.gov.in/sites/default/files/Advertisement%20for%20the%20post%20of%20Director%20%28Projects%29%2C%20TCIL.pdf?download=1,Advertisement_for_the_post_of_Director_Projects_TCIL.pdf
64,Appointment of Government Director on the Board of Mahanagar Telephone Nigam Limited,01/13/2026,https://dot.gov.in/sites/default/files/MTNL.pdf?download=1,MTNL.pdf
65,Appointment of Government Director on the Board of Bharat Sanchar Nigam Limited - regd,01/13/2026,https://dot.gov.in/sites/default/files/BSNL_1.pdf?download=1,BSNL_1.pdf
66,Allotment of candidates to the various services or posts for appointment on the basis of the results of the ESE-2024 Reserve List,01/14/2026,https://dot.gov.in/sites/default/files/Service%20Allocation%20ESE-2024%28RL%29.pdf?download=1,Service_Allocation_ESE-2024RL.pdf
67,Stay Particulars of IP&TAFS Group - A Officers - As on 01-01-2026,01/15/2026,https://dot.gov.in/sites/default/files/Letter%20and%20stay%20particulars%20PnTAFS%20as%20on%2001012026.pdf?download=1,Letter_and_stay_particulars_PnTAFS_as_on_01012026.pdf
68,Transfer & Posting of officers in JAG of ITS Group A - reg,01/16/2026,https://dot.gov.in/sites/default/files/Transfer%20and%20posting%20JAG%2016%20Jan.pdf?download=1,Transfer_and_posting_JAG_16_Jan.pdf
69,"Relieving of Shri Rajeev Roy, IP&TAFS 1995 Batch, for joining as Member Finance in Prasar Bharati Board-reg",01/15/2026,https://dot.gov.in/sites/default/files/DoT%20OM%20dated%2015%20jan.pdf?download=1,DoT_OM_dated_15_jan.pdf
70,Annual rotational transfer/postings of IP&TAFS Gr. A officer-Regarding,01/16/2026,https://dot.gov.in/sites/default/files/Do%20No%20SEA-I.pdf?download=1,Do_No_SEA-I.pdf
71,Reminder for early filing of Annual Immovable Property Return for the year ending 2025 through SPARROW Portal-reg,01/19/2026,https://dot.gov.in/sites/default/files/Reminder%20for%20early%20filing%20of%20the%20IPR%20for%20the%20year%20end%202025.pdf?download=1,Reminder_for_early_filing_of_the_IPR_for_the_year_end_2025.pdf
72,Instructions regarding filling up the Integrity Colum in APAR-reg,01/19/2026,https://dot.gov.in/sites/default/files/doc01867620260119120354_1.pdf?download=1,doc01867620260119120354_1.pdf
73,Nomination of officers for 02 Weeks Proficiency Level-2 Course on Machine Learning/Deep Learning for Wireless Communication for In-Service DoT Officers at IIT Kanpur to be held from 09-20 February 2026,01/20/2026,https://dot.gov.in/sites/default/files/Nomination%20in%2002-Week%20PL-2%20course%20Machine%20Learning%20Deep%20Learning%20for%20Wireless%20Communicationfor%20at%20IIT%20Kanpur%2009to20%20February2026.pdf?download=1,Nomination_in_02-Week_PL-2_course_Machine_Learning_Deep_Learning_for_Wireless_Communicationfor_at_IIT_Kanpur_09to20_Febr.pdf
