id,section,category,title,date,meta,pdf_link,pdf_filename,source_page,scraped_at
a89d7e304c745efbb2be3d1eafa03007556e0911,Publications,Presentations made during Webinar on Standards,L2 Systems Enginnering Standards,,,https://www.inspace.gov.in/inspace/sys_attachment.do?sys_id=047dcefe2b000390e95ef17b6e91bfaf,047dcefe2b000390e95ef17b6e91bfaf.pdf,https://www.inspace.gov.in/inspace?id=inspace_publications,2026-04-09T05:26:29.743326
fabc367694d0c40d6212f56dca98f291387044c5,Publications,Presentations made during Webinar on Standards,L3 Quality Assurance Standards,,,https://www.inspace.gov.in/inspace/sys_attachment.do?sys_id=847dcefe2b000390e95ef17b6e91bfb2,847dcefe2b000390e95ef17b6e91bfb2.pdf,https://www.inspace.gov.in/inspace?id=inspace_publications,2026-04-09T05:26:29.753393
bc414bf3b875c6b9b04cd9964381797914ec073c,Publications,Presentations made during Webinar on Standards,L4 Testing Operations Standards,,,https://www.inspace.gov.in/inspace/sys_attachment.do?sys_id=447d02322b400390e95ef17b6e91bfd4,447d02322b400390e95ef17b6e91bfd4.pdf,https://www.inspace.gov.in/inspace?id=inspace_publications,2026-04-09T05:26:29.764013
5a9b1e3f3d1c305236f93922448860204121c657,Publications,Presentations made during Webinar on Standards,L5 Experience Gained_Launch Vehicle,,,https://www.inspace.gov.in/inspace/sys_attachment.do?sys_id=047d02322b400390e95ef17b6e91bfd7,047d02322b400390e95ef17b6e91bfd7.pdf,https://www.inspace.gov.in/inspace?id=inspace_publications,2026-04-09T05:26:29.774246
9d967eee485266e5f2005d48f9bf3718c5b175c8,Publications,Presentations made during Webinar on Standards,L5 Experience Gained_Satellite,,,https://www.inspace.gov.in/inspace/sys_attachment.do?sys_id=187d02322b400390e95ef17b6e91bfdd,187d02322b400390e95ef17b6e91bfdd.pdf,https://www.inspace.gov.in/inspace?id=inspace_publications,2026-04-09T05:26:29.785238
e60131220a6620041da9ececff6f38d50170fb50,Publications,Presentations made during Webinar on Standards,L5 Experience Gained_Payload,,,https://www.inspace.gov.in/inspace/sys_attachment.do?sys_id=947d02322b400390e95ef17b6e91bfda,947d02322b400390e95ef17b6e91bfda.pdf,https://www.inspace.gov.in/inspace?id=inspace_publications,2026-04-09T05:26:29.796332
06c0f81f35d42c04f906f0d6ab7207e5f1bae1a7,Publications,Presentations made during Webinar on Standards,L6 Annual Standards Plan,,,https://www.inspace.gov.in/inspace/sys_attachment.do?sys_id=547d02322b400390e95ef17b6e91bff9,547d02322b400390e95ef17b6e91bff9.pdf,https://www.inspace.gov.in/inspace?id=inspace_publications,2026-04-09T05:26:29.805633
afdba5ee39ea4d64f8af37a70b541143a43d9741,Publications,IIC Presentations,IN-SPACe Industry Connect 7 Day 1 – Leadership Dialogue Presentation,,,https://www.inspace.gov.in/inspace/sys_attachment.do?sys_id=0380966b3bcaea5063ff0a34c3e45aab,0380966b3bcaea5063ff0a34c3e45aab.pdf,https://www.inspace.gov.in/inspace?id=inspace_publications,2026-04-09T05:26:34.212120
c412601396e88f9f8f374151b30748d6e080e37a,Publications,IIC Presentations,IN-SPACe Industry Connect 7 Day 2 - IN-SPACe Report Presentation,,,https://www.inspace.gov.in/inspace/sys_attachment.do?sys_id=a3215e6b3bcaea5063ff0a34c3e45ab4,a3215e6b3bcaea5063ff0a34c3e45ab4.pdf,https://www.inspace.gov.in/inspace?id=inspace_publications,2026-04-09T05:26:34.221029
491e7e5164ac86ed98f594b8457a07b5d80fe03d,Publications,IIC Presentations,IN-SPACe Industry Connect 7 Day 2 - States for Space Session Presentation,,,https://www.inspace.gov.in/inspace/sys_attachment.do?sys_id=35c1da2b3bcaea5063ff0a34c3e45a0f,35c1da2b3bcaea5063ff0a34c3e45a0f.pdf,https://www.inspace.gov.in/inspace?id=inspace_publications,2026-04-09T05:26:34.229744
ac008f6631f369811118b10e3311b81b9874dceb,Publications,IIC Presentations,"IN-SPACe Industry Connect 7 Day 2 – Special Address, Kaleidoscope and Brainstorming outcome Presentation",,,https://www.inspace.gov.in/inspace/sys_attachment.do?sys_id=1e711aab3bcaea5063ff0a34c3e45aee,1e711aab3bcaea5063ff0a34c3e45aee.pdf,https://www.inspace.gov.in/inspace?id=inspace_publications,2026-04-09T05:26:34.238879
